key,country,num_nodes,num_edges,ave_deg,density,ave_clust,ave_dist,diameter,links_supported,info_total,info_total_friend_only,info_expostIC,info_SP,comp_total,comp_supp,comp_trans,comp_by_three
55,India,246,892,7.252032520325203,0.029600132736021238,0.26124903956154427,3.31630993860959,7,0.757847533632287,0.18729052596648416,0.18012278081964492,0.10147668823627012,,0.18012278081964492,0.022432387589182014,0.0790443006470881,0.0002654720424755268
56,India,130,493,7.584615384615384,0.05879546809779368,0.23071136233428569,2.7227191413237923,6,0.7606490872210954,0.3744782349433512,0.3604054859868813,0.23076923076923078,,0.3604054859868813,0.044722719141323794,0.18604651162790697,0.0004770423375074538
57,India,196,951,9.704081632653061,0.049764521193092624,0.22056692848771275,2.691156462585034,5,0.8159831756046267,0.39304029304029303,0.3838827838827839,0.271847200418629,,0.3838827838827839,0.040607012035583465,0.23124018838304553,0.0009419152276295133
58,India,173,832,9.61849710982659,0.0559214948245732,0.24459977802201735,2.686449791638661,6,0.8245192307692307,0.39642425057131336,0.38661110364296275,0.27496975399919343,,0.38661110364296275,0.04610834789622261,0.22886140610297082,0.001142626697136712
59,India,310,1407,9.07741935483871,0.029376761666144693,0.23871142228921127,3.0795072554546405,6,0.7818052594171997,0.22747677210564776,0.2210669172147406,0.14020252635974528,,0.2210669172147406,0.022966906775237498,0.11723561958450777,0.00029230608623029546
60,India,341,1420,8.328445747800586,0.024495428670001724,0.19553746317588028,3.1158185268242193,7,0.7056338028169014,0.21492151112644473,0.20771088494048645,0.11104019320338106,,0.20771088494048645,0.01728480248404347,0.09375539071933758,0.0005692599620493358
61,India,115,508,8.834782608695653,0.07749809305873379,0.34972741857369666,2.670327993897788,6,0.90748031496063,0.4303585049580473,0.42318840579710143,0.3537757437070938,,0.42318840579710143,0.07032799389778795,0.28344774980930587,0.00015255530129672007
62,India,186,828,8.903225806451612,0.04812554489973845,0.26845712620988094,2.761057832025574,5,0.8067632850241546,0.34803836094158674,0.3387387387387387,0.22522522522522523,,0.3387387387387387,0.03882592269689044,0.18639930252833478,0.0008137169427492008
63,India,155,535,6.903225806451613,0.04482614160033515,0.2418247943832944,3.0139924591537497,6,0.719626168224299,0.27926267281105993,0.2666945957268538,0.15492249685798073,,0.2666945957268538,0.03225806451612903,0.1226644323418517,0.0013405948889819858
64,India,248,960,7.741935483870968,0.0313438683557529,0.2290882620698215,3.058835052892778,6,0.7552083333333334,0.24017239127595663,0.2324996735013713,0.14326759827608723,,0.2324996735013713,0.02367115058116756,0.11959644769491969,0.00042444821731748726
65,India,287,1719,11.979094076655052,0.04188494432396871,0.2598020512210305,2.717623839575059,5,0.8696916812100058,0.3657561950244877,0.36029823834701885,0.27199629638654027,,0.36029823834701885,0.03642698764649984,0.23556930874004045,0.0003167564143173899
66,India,174,775,8.908045977011493,0.051491595242841005,0.2750394223408722,2.734901335459438,6,0.8154838709677419,0.36270015281376655,0.3531991229818617,0.24403694106703874,,0.3531991229818617,0.041990565410936154,0.2020463756561026,0.00039864460833167234
67,India,191,1015,10.6282722513089,0.05593827500688895,0.300956471049429,2.7179388261228987,5,0.8817733990147784,0.38550564893910166,0.3788922568200606,0.2957839625241113,,0.3788922568200606,0.04932488288784789,0.24645907963626343,0.0003306696059520529
68,India,150,740,9.866666666666667,0.06621923937360179,0.2823492752846233,2.556062639821029,5,0.8635135135135135,0.46380313199105144,0.45476510067114095,0.35910514541387023,,0.45476510067114095,0.05718120805369128,0.301923937360179,0.0007158836689038032
69,India,175,1210,13.82857142857143,0.07947454844006568,0.3158605654463481,2.4182594417077174,5,0.9239669421487603,0.5567159277504105,0.5506732348111658,0.46220032840722497,,0.5506732348111658,0.07343185550082101,0.38876847290640393,0.0004597701149425287
70,India,199,1290,12.964824120603016,0.06547890970001523,0.2706883682424756,2.4467285924572355,5,0.8875968992248062,0.5297193035886503,0.5223592711029897,0.4212476524034313,,0.5223592711029897,0.0581188772143546,0.3631287751890767,0.0004060707578295518
71,India,286,1520,10.62937062937063,0.037296037296037296,0.28588785840252035,2.9407925407925406,6,0.8315789473684211,0.2918169549748497,0.2855355171144645,0.19222181327444485,,0.2855355171144645,0.031014599435652067,0.16120721383879277,0.0008833271991166729
72,India,213,1222,11.474178403755868,0.054123483036584284,0.23476350262849507,2.603374966781823,5,0.8502454991816694,0.4407830631588272,0.4326778279741341,0.3292585702896625,,0.4326778279741341,0.04601824785189122,0.2832403224377713,0.0007972362476747276
