country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot,DWLgasPC,DWLdiePC,DWLtotPC,EXPgas,EXPdie,EXPtot
Germany,-2243.71221,40163.8174,81776930.0,70.93061683545524,96.13067066790444,7.419408567145647,7.116575564405008,3.574082506851597,3.7660825068515966,5800.488087809845,7861.271126062275,19305.72481999607,25518.515941950853,8990.57290762687,11516.526618947502,-22304.768006480397,-26339.134331416742,-27257.85414149883,-31432.85140397116,0.0,0.0,0.0,0.0,0.0,0.0,20731.423005842236,29606.195669480683,50337.61867532292
Ghana,-59.32403000000001,1319.083027,24391823.0,8.843273667479515,10.428241567655972,3.4825795315173447,3.596141907545084,3.574082506851597,3.7660825068515966,215.70356603772117,254.36382251950698,456.03476424482847,548.2232318223203,212.37295333811747,247.41358223061744,19.737518082659847,43.22674044086048,19.584083739771227,42.628905176145636,0.00015343434288861958,0.0005978352647148455,0.0007512696076034651,0.0062904007990144725,0.02450965902445445,0.030800059823468923,770.9423420409274,957.9551423666195,1728.897484407547
Greece,-338.48857,25832.21209,11315508.0,103.31450833727617,67.76601582215018,7.797949820571445,7.873658071256605,3.574082506851597,3.7660825068515966,1169.0561456065152,766.8068941636669,4008.885303357367,2644.794537998842,1866.9164682600924,1193.5978866403502,-4937.938041330671,-3149.717261083976,-6109.319174771773,-3855.9679255892647,0.0,0.0,0.0,0.0,0.0,0.0,4178.3031195396,2887.8580302429896,7066.161149782589
Greenland,-4.24435,,56905.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Grenada,-2.00411,7499.517635,104487.0,,,5.299577547961176,4.050391411656042,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Guam,-6.57882,,179896.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Guatemala,-55.510639999999995,2873.077445,14388929.0,20.75328903506373,17.06200364487099,4.3153702890541,3.9368290356283024,3.574082506851597,3.7660825068515966,298.61760244201054,245.5039590437899,718.0029763792395,558.6585285005492,334.3701501610837,252.12303995319104,-221.36158024086689,-41.91894880766568,-233.94756215687627,-42.477359958337,0.0,0.0,0.0,0.0,0.0,0.0,1067.2839491259545,924.588165517628,1991.8721146435823
Guinea,-9.08902,474.4691453,9981590.0,,,5.072452795905698,5.072452795905698,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Guinea-Bissau,-2.66142,551.3316137,1515224.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Guyana,-10.77719,2994.445312,754493.0,,,4.088245536998622,3.9746831609708826,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Haiti,-14.11079,663.9062502,9993247.0,3.878294278528831,6.234694931647099,4.731765667822479,3.8989749102857223,3.574082506851597,3.7660825068515966,38.756752664025406,62.304846421597574,98.4830111236466,140.95876763449107,45.863012133721746,63.614804376925264,-44.8680399330556,-8.279840786560186,-48.67420568316339,-8.366077615723686,0.0,0.0,0.0,0.0,0.0,0.0,138.51983171886724,234.64519220045392,373.16502391932113
Honduras,-46.37079,2018.750027,7600524.0,19.8953218239393,17.710984729382936,4.731765667822479,4.3532244143966805,3.574082506851597,3.7660825068515966,151.21487101057443,134.6127644993085,384.2451908417563,325.36653103967035,178.94093254088526,146.83817523545662,-175.05890985732606,-79.03679532804114,-189.90919589487768,-82.48722453889481,0.0,0.0,0.0,0.0,0.0,0.0,540.4544252547147,506.96277757977936,1047.417202834494
Hong Kong,-382.09929,32374.48028,7067800.0,16.40575280288012,56.93557871685324,8.176491073997244,5.943097678785034,3.574082506851597,3.7660825068515966,115.95257966019611,402.4092832549754,409.09163123853625,1172.3997358757106,190.511787091287,529.1049368612867,-533.6611460107247,-876.0511149729416,-667.9509675163577,-997.262075580208,0.0,0.0,0.0,0.0,0.0,0.0,414.4240865878232,1515.506562261252,1929.9306488490752
Hungary,-115.61876,12863.13383,10000023.0,40.91687100232169,69.22109675237543,6.965159063034689,7.230137940432748,3.574082506851597,3.7660825068515966,409.16965111125,692.2125596089796,1311.179157556018,2268.440668939955,610.6091286848954,1023.7490850478073,-1387.525611384975,-2397.8626783066024,-1668.910745999211,-2873.1719236726854,0.0,0.0,0.0,0.0,0.0,0.0,1462.4060923712898,2606.929611766346,4069.3357041376357
