survey,imposed,voluntary,want_share_fb,want_share_facts,see_facts,age,age_sqrd,male_raw,male,educ,income,religion_q8,q13,q14,q15,neg_image_ue,vote_2nd,second_mlp,share_interest,share_reciprocity,share_image,share_influence,gave_charity,gave_homeless,donated_blood,worked_charity,altruism,reciprocity,image
1,0,0,0,0,0,58,3364,1,1,3,1,1,2,70.0,3,1,6,0,4.0,1.0,4.0,4.0,1,1,1,1,1.0,4,4
1,0,0,0,0,0,34,1156,2,0,3,1,1,1,200.0,3,3,7,0,4.0,4.0,5.0,5.0,0,1,1,1,0.75,5,5
1,0,0,0,0,0,60,3600,1,1,4,1,1,1,214.0,2,1,2,1,3.0,3.0,3.0,4.0,0,1,0,1,0.5,5,4
1,0,0,0,0,0,23,529,2,0,6,1,1,1,400.0,2,3,7,0,3.0,1.0,5.0,2.0,1,0,1,1,0.75,5,4
1,0,0,1,0,0,29,841,2,0,7,1,1,1,210.0,3,3,3,0,5.0,4.0,4.0,5.0,0,0,0,0,0.0,4,5
1,0,0,0,0,0,59,3481,2,0,6,1,1,1,10.0,2,3,7,0,2.0,2.0,1.0,4.0,0,0,1,0,0.25,5,5
1,0,0,1,0,0,65,4225,1,1,4,1,1,2,15.0,2,1,1,0,3.0,1.0,1.0,2.0,1,1,1,0,0.75,5,5
1,0,0,0,0,0,62,3844,1,1,7,1,1,1,280.0,3,5,1,0,4.0,1.0,2.0,4.0,1,1,1,0,0.75,5,5
1,0,0,1,0,0,46,2116,2,0,5,1,1,1,100.0,3,3,7,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,22,484,2,0,1,1,1,1,,3,3,7,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,53,2809,2,0,4,1,1,1,95.0,3,3,7,0,5.0,3.0,3.0,4.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,42,1764,2,0,3,2,2,1,50.0,3,1,1,0,3.0,2.0,1.0,3.0,0,1,1,0,0.5,5,3
1,0,0,0,0,0,44,1936,1,1,7,1,1,1,200.0,3,1,7,0,5.0,5.0,4.0,4.0,0,0,0,0,0.0,3,4
1,0,0,0,0,0,58,3364,2,0,4,1,1,1,187.0,3,5,7,0,4.0,2.0,2.0,4.0,1,0,0,1,0.5,4,3
1,0,0,0,0,0,71,5041,1,1,4,1,2,3,15.0,2,5,1,0,3.0,2.0,3.0,4.0,0,0,1,0,0.25,5,4
1,0,0,1,0,0,66,4356,1,1,4,1,1,2,10.0,2,1,1,0,2.0,2.0,3.0,4.0,0,1,1,1,0.75,4,1
1,0,0,0,0,0,36,1296,2,0,6,1,1,1,280.0,3,6,1,0,2.0,4.0,4.0,4.0,0,0,0,0,0.0,5,4
1,0,0,0,0,0,39,1521,1,1,6,2,2,3,250.0,2,3,4,0,2.0,2.0,3.0,3.0,0,1,1,1,0.75,4,2
1,0,0,0,0,0,33,1089,2,0,5,1,1,1,150.0,3,1,7,0,4.0,1.0,4.0,3.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,27,729,2,0,6,1,1,1,235.0,3,3,1,0,4.0,3.0,4.0,4.0,1,1,1,0,0.75,4,5
1,0,0,0,0,0,41,1681,1,1,6,1,1,1,60.0,3,3,7,0,3.0,4.0,2.0,4.0,0,0,0,1,0.25,5,5
1,0,0,1,0,0,22,484,2,0,3,1,1,1,62.0,3,3,6,0,4.0,2.0,5.0,2.0,1,1,1,1,1.0,4,4
1,0,0,0,0,0,29,841,2,0,1,1,1,1,180.0,3,3,7,0,4.0,3.0,1.0,4.0,0,0,1,1,0.5,5,5
1,0,0,0,0,0,32,1024,1,1,6,1,1,1,964.0,2,3,7,0,5.0,2.0,2.0,5.0,0,0,1,0,0.25,5,3
1,0,0,1,0,0,55,3025,2,0,6,2,2,1,15.0,2,3,7,0,2.0,2.0,3.0,4.0,0,0,0,1,0.25,3,2
1,0,0,0,0,0,47,2209,1,1,1,1,1,1,505.0,3,1,7,0,4.0,4.0,4.0,4.0,1,1,1,0,0.75,4,4
1,0,0,0,0,0,18,324,1,1,7,2,1,2,150.0,1,2,1,0,,,,,0,0,0,0,0.0,4,4
1,0,0,0,0,0,24,576,2,0,7,1,2,1,450.0,2,3,7,0,1.0,1.0,1.0,1.0,0,0,0,1,0.25,4,4
1,0,0,1,0,0,33,1089,1,1,4,1,1,1,124.0,3,5,1,0,3.0,3.0,2.0,4.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,59,3481,1,1,5,1,2,3,80.0,2,3,7,0,1.0,1.0,1.0,1.0,1,1,1,1,1.0,4,3
1,0,0,0,0,0,63,3969,1,1,4,1,1,3,3.0,1,2,1,0,,,,,0,0,1,0,0.25,2,2
1,0,0,0,0,0,25,625,1,1,5,1,1,1,50.0,2,8,8,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,2
1,0,0,0,0,0,43,1849,2,0,4,2,2,1,3000.0,3,1,1,0,4.0,4.0,3.0,3.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,52,2704,1,1,5,1,1,3,10.0,2,1,7,0,2.0,1.0,2.0,3.0,1,1,1,1,1.0,2,2
1,0,0,0,0,0,35,1225,2,0,5,1,1,2,20.0,2,1,7,0,1.0,1.0,1.0,1.0,1,1,1,0,0.75,5,5
1,0,0,0,0,0,38,1444,2,0,4,1,1,1,500.0,3,4,7,0,3.0,3.0,2.0,2.0,1,1,0,1,0.75,4,3
1,0,0,0,0,0,48,2304,2,0,7,2,2,1,200.0,3,8,1,0,4.0,1.0,5.0,3.0,1,1,1,1,1.0,5,5
1,0,0,1,0,0,40,1600,1,1,1,1,1,1,25.0,2,3,1,0,4.0,4.0,4.0,4.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,58,3364,1,1,6,1,1,1,200.0,3,3,1,0,5.0,4.0,5.0,5.0,0,1,1,0,0.5,5,5
1,0,0,0,0,0,42,1764,2,0,5,3,1,1,250.0,3,3,1,0,4.0,4.0,5.0,5.0,0,0,0,0,0.0,3,4
1,0,0,0,0,0,41,1681,2,0,5,1,1,1,161.0,3,8,4,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,1,0,0,68,4624,1,1,5,3,1,2,50.0,3,3,6,0,4.0,1.0,1.0,4.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,56,3136,2,0,3,1,1,1,100.0,3,3,1,0,5.0,4.0,4.0,4.0,0,0,0,0,0.0,5,5
1,0,0,1,0,0,64,4096,1,1,3,1,1,1,150.0,3,1,7,0,5.0,3.0,3.0,4.0,0,1,0,1,0.5,5,5
1,0,0,0,0,0,39,1521,2,0,5,2,2,1,300.0,3,1,1,0,4.0,4.0,3.0,4.0,0,0,0,1,0.25,5,4
1,0,0,0,0,0,35,1225,1,1,8,3,3,1,25.0,2,3,7,0,3.0,1.0,2.0,2.0,1,1,1,0,0.75,3,3
1,0,0,1,0,0,54,2916,2,0,4,1,1,1,150.0,3,1,1,0,5.0,2.0,5.0,5.0,1,1,1,0,0.75,5,5
1,0,0,0,0,0,51,2601,1,1,4,1,1,1,100.0,2,1,7,0,3.0,2.0,3.0,3.0,1,1,1,0,0.75,5,4
1,0,0,0,0,0,52,2704,2,0,8,3,1,2,17.0,2,1,1,0,3.0,2.0,2.0,3.0,0,0,0,0,0.0,5,3
1,0,0,0,0,0,67,4489,1,1,4,1,1,2,52.0,3,6,1,0,4.0,1.0,1.0,3.0,1,1,0,0,0.5,5,5
1,0,0,0,0,0,39,1521,2,0,4,1,1,1,89.0,3,1,7,0,4.0,5.0,5.0,5.0,1,1,0,0,0.5,5,5
1,0,0,0,0,0,36,1296,2,0,5,1,1,1,27.0,3,1,1,0,4.0,3.0,3.0,3.0,1,1,1,1,1.0,4,3
1,0,0,0,0,0,31,961,1,1,8,1,2,1,105.0,3,1,7,0,4.0,2.0,5.0,3.0,0,1,0,1,0.5,5,5
1,0,0,0,0,0,27,729,2,0,3,1,1,1,140.0,2,1,6,0,3.0,3.0,2.0,2.0,1,1,0,0,0.5,5,3
1,0,0,0,0,0,62,3844,2,0,4,1,1,3,10.0,2,1,1,0,4.0,3.0,5.0,5.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,49,2401,2,0,6,1,1,1,32.0,3,1,1,0,5.0,2.0,3.0,5.0,1,1,0,1,0.75,5,5
1,0,0,0,0,0,25,625,1,1,6,1,1,1,150.0,2,3,1,0,5.0,2.0,5.0,4.0,0,1,0,1,0.5,5,4
1,0,0,0,0,0,45,2025,1,1,3,1,1,1,150.0,1,6,1,0,,,,,0,0,0,1,0.25,2,2
1,0,0,1,0,0,19,361,1,1,7,1,1,1,500.0,1,3,1,0,,,,,0,1,0,0,0.25,4,3
1,0,0,0,0,0,45,2025,1,1,4,1,1,1,121.0,2,8,8,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,5,3
1,0,0,1,0,0,36,1296,2,0,4,1,1,1,30.0,2,3,4,0,4.0,4.0,4.0,4.0,0,0,0,0,0.0,4,4
